X,Y
0.0053998,0.0850457
-0.040333,0.074519
-0.0645458,0.0517465
-0.0851802,0.0291839
-0.0762021,0.0026425
-0.0659718,-0.0277974
-0.0635729,-0.0549311
-0.0113388,-0.0772478
0.0253211,-0.083938
0.0467178,-0.0923229
0.0654855,-0.09282
0.13782,-0.0532198
0.170827,-0.002597
0.167224,0.0495976
0.125528,0.0843241
0.0907984,0.0879864
0.0251448,0.0837608
-0.0042343,0.0798851
